year,month,z20_mean,z20_std,z20_min,z20_max,valid_pct
2011,3,24.784631085345456,12.69992920752007,5.0,44.84055738687174,72.96296296296296
2011,4,23.814475887936737,14.10054470940317,5.0,51.98990138363162,72.96296296296296
2011,5,24.816630364420686,15.35639814550376,5.0,57.62314388948158,72.96296296296296
2011,6,19.525169575559122,14.711799306356504,5.0,59.125693551451235,72.96296296296296
2011,7,5.06400402913599,0.6793148243551733,5.0,13.776793889143711,72.96296296296296
2011,8,5.071208926287679,0.7848728280892396,5.0,15.47538752793351,72.96296296296296
2011,9,5.0,0.0,5.0,5.0,72.96296296296296
2011,10,5.0,0.0,5.0,5.0,72.96296296296296
2011,11,6.514126906773998,5.080803456142002,5.0,31.632818076433985,72.96296296296296
2011,12,17.559027559342162,10.738464361423167,5.0,39.497093693493035,72.96296296296296
2012,1,22.745322204554597,12.708967189528268,5.0,43.465720371482966,72.96296296296296
2012,2,23.50109846204618,13.522467299891096,5.0,46.4898620495021,72.96296296296296
2012,3,22.574145564179858,14.08913873910079,5.0,50.39363155690091,72.96296296296296
2012,4,22.287979800111966,13.154878132641775,5.0,50.525791438753465,72.96296296296296
2012,5,31.016239195393098,15.535109685380393,5.0,59.32907066810897,72.96296296296296
2012,6,33.75459844497789,14.166523077401783,5.0,64.09319700938082,72.96296296296296
2012,7,26.77217543973608,17.430899382342812,5.0,71.1146998833169,72.96296296296296
2012,8,12.296094738103095,13.942915271228301,5.0,49.28390813961758,72.96296296296296
2012,9,9.902165382195246,12.12059552005109,5.0,57.81109001036401,72.96296296296296
2012,10,6.27768400072555,7.244802505451319,5.0,51.686000074074606,72.96296296296296
2012,11,10.56679594348837,11.3759828663734,5.0,52.07233456191659,72.96296296296296
2012,12,20.49991441041909,13.801483205196602,5.0,52.99211274664901,72.96296296296296
2013,1,23.76039940209389,14.00485297282847,5.0,55.966152475844396,72.96296296296296
2013,2,24.85533846548808,15.852111369932684,5.0,59.169863082882,72.96296296296296
2013,3,23.402248791753028,16.178319290856617,5.0,59.099859065207625,72.96296296296296
2013,4,19.835113102445952,17.768187997301343,5.0,62.142678296513765,72.96296296296296
2013,5,18.394495065550206,18.13771970068716,5.0,71.85141485778168,72.96296296296296
2013,6,11.641571344647447,19.124103008947188,5.0,78.79408786591978,72.96296296296296
2013,7,8.880944815283044,16.329183755979578,5.0,82.82864531213453,72.96296296296296
2013,8,5.0,0.0,5.0,5.0,72.96296296296296
2013,9,5.0,0.0,5.0,5.0,72.96296296296296
2013,10,5.0,0.0,5.0,5.0,72.96296296296296
2013,11,6.154805515266494,4.134134304301607,5.0,30.91681269131392,72.96296296296296
2013,12,25.588909216419314,14.897491632968455,5.0,75.77542161512564,72.96296296296296
2014,1,29.00850862623842,11.632666068851888,8.057492579022124,59.46757456759256,72.96296296296296
2014,2,32.133607741538476,14.323224727583636,5.0,64.42863361112555,72.96296296296296
2014,3,31.36232313456946,14.643995385836778,5.0,63.621102367342104,72.96296296296296
2014,4,32.97521341474842,16.918012631178016,5.0,67.47156140039164,72.96296296296296
2014,5,46.79595367259282,18.531728001256717,5.0,76.5745203243108,72.96296296296296
2014,6,51.188638829522596,18.210159010784608,5.0,84.93246788172418,72.96296296296296
2014,7,33.65400823514545,20.316966493318954,5.0,88.0818689470659,72.96296296296296
2014,8,16.401848764080558,16.75668046271063,5.0,60.897780551776044,72.96296296296296
2014,9,8.842953626667923,11.097728544513375,5.0,58.731476671149906,72.96296296296296
2014,10,8.918926971182824,10.134368372406659,5.0,49.36904335829927,72.96296296296296
2014,11,17.329580251659397,17.759547346204624,5.0,65.56351084765093,72.96296296296296
2014,12,28.432006364260612,17.634687451007355,5.0,60.19335136319288,72.96296296296296
2015,1,29.03502950630652,15.029195129625668,5.0,57.112368582654845,72.96296296296296
2015,2,31.174921876089517,16.628028115244792,6.639617270429197,62.91476336009828,72.96296296296296
2015,3,32.84124967916772,17.61933289351172,8.063849500945842,71.309446096665,72.96296296296296
2015,4,37.787911916150726,16.774361977318417,6.622472095002076,75.04815340730735,72.96296296296296
2015,5,50.339057326852426,16.040776915915018,7.742282181198391,88.08531096348912,72.96296296296296
2015,6,54.962839359050406,15.6920477283155,5.0,78.45153019536546,72.96296296296296
2015,7,50.2496759070257,17.576019778450963,5.0,89.76306692883396,72.96296296296296
2015,8,28.495201618891194,20.369624798043507,5.0,73.34725125802224,72.96296296296296
2015,9,27.61199791322089,21.37650067748015,5.0,76.91681147314092,72.96296296296296
2015,10,31.20562433539779,23.86924668832606,5.0,81.04012291168351,72.96296296296296
2015,11,37.806077489277484,21.237677452499444,5.0,80.82465235565348,72.96296296296296
2015,12,51.47440400868457,15.465004435072812,19.566798129287918,80.72451766154285,72.96296296296296
